waveform_id,mass1,mass2,mass_ratio,symmetric_mass_ratio,delta,chi1z,chi2z,chi_s,chi_a,massf,chifz
SXS:BBH:0265,0.7499996308727246,0.25000036912727547,2.999994093972313,0.18750018456350148,0.49999926174544906,-0.599958958593,-0.400035500741,-0.5499780203327987,-0.34995997463426975,0.9786426923863413,0.256612305183
SXS:BBH:0266,0.7499986149335469,0.25000138506645314,2.9999778390595275,0.18750069253130816,0.4999972298670937,-0.599972302918,0.399920723315,-0.34999766144146266,-0.5499591309325182,0.9774228400633066,0.28435493428
SXS:BBH:0268,0.749980099202474,0.250019900797526,2.9996816125842383,0.18750995000272125,0.49996019840494804,-0.400039351712,-0.599839274216,-0.44999330851580344,-0.15004979684791483,0.9772195546500223,0.341246943449
SXS:BBH:0269,0.7499921377860916,0.2500078622139083,2.9998742085334644,0.18750393104513974,0.49998427557218345,-0.400019796971,0.599962415787,-0.15001638170743878,-0.4500070236666385,0.9751096990377781,0.381683694976
SXS:BBH:0270,0.749995720342955,0.25000427965704497,2.99993152665945,0.18750213981020702,0.49999144068591006,-0.299964616889,-0.299928487243,-0.2999555843228775,-0.14998877351925066,0.9757207755457954,0.396917497982
SXS:BBH:0273,0.7499560162001772,0.25004398379982284,2.9992963829938324,0.18752198996533678,0.49991203240035426,-0.268723451925,-0.849320915947,-0.4138983548131352,0.01083681588266952,0.9763363059100874,0.392383716736
SXS:BBH:0274,0.7499541177037434,0.25004588229625657,2.9992660179670194,0.18752293904294318,0.49990823540748686,-0.231337470049,0.849650153905,0.03895903413391197,-0.38594401061873984,0.9725273721970872,0.465066285678
SXS:BBH:0275,0.749992041028382,0.250007958971618,2.999872660508078,0.18750397942246377,0.499984082056764,-2.97878523957e-05,-0.59979908147,-0.149976884803582,0.14993220349914982,0.9726449236055236,0.521343385042
SXS:BBH:0278,0.7499890964938652,0.2500109035061347,2.9998255515102454,0.18750545163418092,0.49997819298773055,6.19732756504e-05,0.599854872916,0.15001673803129859,-0.14992377946927496,0.9697066887356693,0.559132048779
SXS:BBH:0279,0.749953591246574,0.250046408753426,2.999257597761034,0.18752320222294058,0.4999071824931481,0.23135178926,-0.849381937063,-0.038881797825774084,0.3858880082194892,0.9695570284710916,0.61522324578
SXS:BBH:0284,0.7499908546390625,0.2500091453609376,2.999853679577611,0.18750457259683118,0.4999817092781248,0.400035094305,-0.59981035359,0.1500645883837472,0.4499807361431026,0.9653659716510816,0.695734386874
SXS:BBH:0285,0.7499871815927468,0.2500128184072532,2.9997949159993498,0.18750640903931504,0.4999743631854936,0.399970909169,0.599878208765,0.44995029656117913,0.1499958132123146,0.9608561822945829,0.730046325206
SXS:BBH:0287,0.7499935752091347,0.25000642479086527,2.9998972059878755,0.1875032123541547,0.4999871504182694,0.600009437459,-0.599806193362,0.3000478211892451,0.5999586251289492,0.9597494781196698,0.779838768872
SXS:BBH:0288,0.7500002954638261,0.24999970453617384,3.000004727426805,0.1874998522679996,0.5000005909276525,0.599935835445,-0.399967070945,0.3499604042826384,0.5499437034035362,0.9588834523906173,0.785440463141
